# Duplicates found in Ground Truth data
# Generated by evaluation.ipynbhttps://www.uni-due.de/person/56085 	&#350;enay Aslan Y&#305;lmaz
https://www.uni-due.de/person/51950 	Dumoulin, M.A.
https://www.uni-due.de/person/51593 	Dumoulin, M.A.
https://www.uni-due.de/person/51592 	Dumoulin, M.A.
https://www.uni-due.de/person/51594 	Dumoulin, M.A.
https://www.uni-due.de/person/51949 	Dumoulin, M.A.
https://www.uni-due.de/person/55509 	Döppner, M.Sc.
https://www.uni-due.de/person/55515 	Döppner, M.Sc.
https://www.uni-due.de/person/55507 	Döppner, M.Sc.
https://www.uni-due.de/person/55508 	Döppner, M.Sc.
https://www.uni-due.de/person/55514 	Döppner, M.Sc.
https://www.uni-due.de/person/55516 	Döppner, M.Sc.
https://www.uni-due.de/person/55504 	Döppner, M.Sc.
https://www.uni-due.de/person/55503 	Döppner, M.Sc.
https://www.uni-due.de/person/55505 	Döppner, M.Sc.
https://www.uni-due.de/person/55502 	Döppner, M.Sc.
https://www.uni-due.de/person/55500 	Döppner, M.Sc.
https://www.uni-due.de/person/55499 	Döppner, M.Sc.
https://www.uni-due.de/person/55510 	Döppner, M.Sc.
https://www.uni-due.de/person/55511 	Döppner, M.Sc.
https://www.uni-due.de/person/55513 	Döppner, M.Sc.
https://www.uni-due.de/person/55512 	Döppner, M.Sc.
https://www.uni-due.de/person/55501 	Döppner, M.Sc.
https://www.uni-due.de/person/55506 	Döppner, M.Sc.
https://www.uni-due.de/person/50395 	Engel, M.A.
https://www.uni-due.de/person/50393 	Engel, M.A.
https://www.uni-due.de/person/50396 	Engel, M.A.
https://www.uni-due.de/person/50394 	Engel, M.A.
https://www.uni-due.de/person/53211 	Fazis, M.A.
https://www.uni-due.de/person/53212 	Fazis, M.A.
https://www.uni-due.de/person/11138 	Frank
https://www.uni-due.de/person/46852 	Frank
https://www.uni-due.de/person/54712 	Fuhrmann
https://www.uni-due.de/person/54713 	Fuhrmann
https://www.uni-due.de/person/58120 	Gordon Strahl
https://www.uni-due.de/person/58123 	Gordon Strahl
https://www.uni-due.de/person/54522 	Guminsiki, Dr.
https://www.uni-due.de/person/54607 	Guminsiki, Dr.
https://www.uni-due.de/person/56169 	Gül&#351;ah Suzan
https://www.uni-due.de/person/56168 	Gül&#351;ah Suzan
https://www.uni-due.de/person/56167 	Gül&#351;ah Suzan
https://www.uni-due.de/person/56166 	Gül&#351;ah Suzan
https://www.uni-due.de/person/56164 	Gül&#351;ah Suzan
https://www.uni-due.de/person/56165 	Gül&#351;ah Suzan
https://www.uni-due.de/person/56999 	Haarmann, StB
https://www.uni-due.de/person/56997 	Haarmann, StB
https://www.uni-due.de/person/57146 	Haarmann, StB
https://www.uni-due.de/person/56996 	Haarmann, StB
https://www.uni-due.de/person/56998 	Haarmann, StB
https://www.uni-due.de/person/56428 	Heiden, in der
https://www.uni-due.de/person/56427 	Heiden, in der
https://www.uni-due.de/person/56426 	Heiden, in der
https://www.uni-due.de/person/56628 	Heiden, in der
https://www.uni-due.de/person/56342 	Heiden, in der
https://www.uni-due.de/person/56627 	Heiden, in der
https://www.uni-due.de/person/55990 	Heiden, in der
https://www.uni-due.de/person/55991 	Heiden, in der
https://www.uni-due.de/person/55999 	Heiden, in der
https://www.uni-due.de/person/52606 	Heiden, in der
https://www.uni-due.de/person/14500 	Hense
https://www.uni-due.de/person/47453 	Hense
https://www.uni-due.de/person/49034 	Hildebrandt
https://www.uni-due.de/person/11873 	Hildebrandt
https://www.uni-due.de/person/54610 	Hilka Roseneit
https://www.uni-due.de/person/63252 	Hilka Roseneit
https://www.uni-due.de/person/53492 	Höfges
https://www.uni-due.de/person/53491 	Höfges
https://www.uni-due.de/person/56818 	Hülbusch, M.A.
https://www.uni-due.de/person/56816 	Hülbusch, M.A.
https://www.uni-due.de/person/55922 	Hülbusch, M.A.
https://www.uni-due.de/person/55919 	Hülbusch, M.A.
https://www.uni-due.de/person/55918 	Hülbusch, M.A.
https://www.uni-due.de/person/56654 	Hülbusch, M.A.
https://www.uni-due.de/person/57268 	Hülbusch, M.A.
https://www.uni-due.de/person/56650 	Hülbusch, M.A.
https://www.uni-due.de/person/56652 	Hülbusch, M.A.
https://www.uni-due.de/person/55796 	Hülbusch, M.A.
https://www.uni-due.de/person/55797 	Hülbusch, M.A.
https://www.uni-due.de/person/55798 	Hülbusch, M.A.
https://www.uni-due.de/person/55799 	Hülbusch, M.A.
https://www.uni-due.de/person/56648 	Hülbusch, M.A.
https://www.uni-due.de/person/55921 	Hülbusch, M.A.
https://www.uni-due.de/person/51310 	Jahn, geb. Deppisch
https://www.uni-due.de/person/51309 	Jahn, geb. Deppisch
https://www.uni-due.de/person/51308 	Jahn, geb. Deppisch
https://www.uni-due.de/person/51305 	Jahn, geb. Deppisch
https://www.uni-due.de/person/51307 	Jahn, geb. Deppisch
https://www.uni-due.de/person/51312 	Jahn, geb. Deppisch
https://www.uni-due.de/person/51313 	Jahn, geb. Deppisch
https://www.uni-due.de/person/51306 	Jahn, geb. Deppisch
https://www.uni-due.de/person/62981 	Jan Grey
https://www.uni-due.de/person/61593 	Jan Grey
https://www.uni-due.de/person/51644 	Jasamin Ulfat
https://www.uni-due.de/person/49209 	Jasamin Ulfat
https://www.uni-due.de/person/62466 	Jessica Gebhard
https://www.uni-due.de/person/62788 	Jessica Gebhard
https://www.uni-due.de/person/47679 	Jessica Holste
https://www.uni-due.de/person/57556 	Jessica Holste
https://www.uni-due.de/person/58496 	Katharina Henze
https://www.uni-due.de/person/60429 	Katharina Henze
https://www.uni-due.de/person/57185 	Kaufmann, Dr.
https://www.uni-due.de/person/57186 	Kaufmann, Dr.
https://www.uni-due.de/person/57188 	Kaufmann, Dr.
https://www.uni-due.de/person/57189 	Kaufmann, Dr.
https://www.uni-due.de/person/57191 	Kaufmann, Dr.
https://www.uni-due.de/person/57190 	Kaufmann, Dr.
